Date,Day,Week,Phase,Gym,Run,Run_km,Run_Pace,Double_Day,Notes,Result
08/06/2026,Monday,1,Phase 1 — Base (Jun–Sep),Legs,Recovery Run,5,6:00–6:45/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
09/06/2026,Tuesday,1,Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,8,4:30–4:40/km,No,OSSAAT 4:30 group. 6x1km with 90s rest. Start controlled — build into reps.,
10/06/2026,Wednesday,1,Phase 1 — Base (Jun–Sep),Upper,,,,No,Upper gym: Bench + Pull-ups + Rows + Bi/Tri. Strength focus — no run today.,
11/06/2026,Thursday,1,Phase 1 — Base (Jun–Sep),Lower,Easy Run,6.1,5:45–6:30/km,Yes,Conversational pace — full sentences throughout. Protect Fri tempo quality.,
12/06/2026,Friday,1,Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,5.2,4:40–4:50/km,No,Threshold work. Comfortably hard — few words only. 1km easy warm-up first.,
13/06/2026,Saturday,1,Phase 1 — Base (Jun–Sep),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
14/06/2026,Sunday,1,Phase 1 — Base (Jun–Sep),Push,Long Run,10.6,5:30–6:00/km,Yes,Key aerobic session. First half easy (6:00+/km). Fuel at 60min. Stop if acute pain.,
,,,,,,,,,,
15/06/2026,Monday,2,Phase 1 — Base (Jun–Sep),Legs,Recovery Run,5.5,6:00–6:30/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
16/06/2026,Tuesday,2,Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,10,4:30/km,No,OSSAAT 4:30 group. 6x1km with 90s rest. Start controlled — build into reps.,
17/06/2026,Wednesday,2,Phase 1 — Base (Jun–Sep),Upper,Medium-Long Run,5,5:30–6:00/km,Yes,Steady aerobic volume. HR 140-155. Don't chase pace — purpose is accumulation.,
18/06/2026,Thursday,2,Phase 1 — Base (Jun–Sep),Lower,Easy Run,7,5:30–6:15/km,Yes,Conversational pace — full sentences throughout. Protect Fri tempo quality.,
19/06/2026,Friday,2,Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,6,4:25–4:35/km,No,Threshold work. Comfortably hard — few words only. 1km easy warm-up first.,
20/06/2026,Saturday,2,Phase 1 — Base (Jun–Sep),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
